cir_supply,daily_change,fdv,market_cap,market_cap_raw,time,total_supply,weekly_change
8690489.725140171,0.03024062080827789,924.1322420998465,606.1254154444879,606125415.4444879,2023-05-06 00:00:00.000 UTC,13250000,0.1747221296553169
8687862.461596815,0.028387971899053094,926.3337005125451,607.3856440449061,607385644.0449061,2023-05-05 00:00:00.000 UTC,13250000,0.17782401260773115
8685396.8535787,0.016276999996199172,913.282320680983,598.6580675072954,598658067.5072954,2023-05-04 00:00:00.000 UTC,13250000,0.300104859388023
8683983.361607261,0.029048019314109046,909.3406575083734,595.9772935725073,595977293.5725073,2023-05-03 00:00:00.000 UTC,13250000,0.30840815645270636
8681461.568973958,0.01165855248592036,922.6048388831923,604.494977518026,604494977.518026,2023-05-02 00:00:00.000 UTC,13250000,0.3025880267970541
8680449.554206667,0.034394511587196384,935.733683225076,613.0255874269641,613025587.426964,2023-05-01 00:00:00.000 UTC,13250000,0.3151013370257212
8677464.982507784,0.024586750030480036,964.3379271300981,631.5478184132505,631547818.4132506,2023-04-30 00:00:00.000 UTC,13250000,0.30949912477186203
8675332.000314552,0.033338029930171785,961.1672770581388,629.3166216088811,629316621.6088811,2023-04-29 00:00:00.000 UTC,13250000,0.30052048709480456
8672440.779411836,0.15048641138733737,966.6862257504346,632.7191732146251,632719173.2146251,2023-04-28 00:00:00.000 UTC,13250000,0.30604966503471975
8659409.544740623,0.024556800504871294,979.1021433453092,639.8827505932356,639882750.5932356,2023-04-27 00:00:00.000 UTC,13250000,0.18836467006035934
8657283.592879578,0.023244098790359546,986.5193584744762,644.5719136738996,644571913.6738997,2023-04-26 00:00:00.000 UTC,13250000,0.19003988030926772
8655271.752962746,0.024135567631496005,947.799532004753,619.1292465533621,619129246.5533621,2023-04-25 00:00:00.000 UTC,13250000,0.19740404644766987
8653183.258065218,0.028807975728977142,951.8383979212439,621.617516171753,621617516.1717529,2023-04-24 00:00:00.000 UTC,13250000,0.19836413067150482
8650691.169052849,0.015633614673789334,973.4270706027656,635.5333557268173,635533355.7268173,2023-04-23 00:00:00.000 UTC,13250000,0.198745930670192
8649338.964727273,0.038852479139459155,979.027800599438,639.090060624601,639090060.624601,2023-04-22 00:00:00.000 UTC,13250000,0.20114001435347645
8645979.787234036,0.032983932430553406,1000.7591081320892,653.0221147773889,653022114.7773889,2023-04-21 00:00:00.000 UTC,13250000,0.19988786368581643
8643128.943423452,0.026229271786806462,1059.1109202959528,690.8703584532678,690870358.4532678,2023-04-20 00:00:00.000 UTC,13250000,0.19642312399969608
8640862.508111475,0.030596005108845907,1116.599470074165,728.1798111351694,728179811.1351694,2023-04-19 00:00:00.000 UTC,13250000,0.19800703235622502
8638219.558014192,0.025093991609393615,1175.1609156364984,766.1356985105712,766135698.5105711,2023-04-18 00:00:00.000 UTC,13250000,0.1840186182158464
8636052.427742591,0.029189129643865486,1143.0366180932313,745.0055970326589,745005597.0326589,2023-04-17 00:00:00.000 UTC,13250000,0.18067270216054301
8633532.37478487,0.018023323190460027,1157.175000299663,754.0005908210439,754000590.821044,2023-04-16 00:00:00.000 UTC,13250000,0.17656342760885957
8631976.605743492,0.037602356477124656,1156.6967365635371,753.5531449023619,753553144.9023619,2023-04-15 00:00:00.000 UTC,13250000,0.18238175117366465
8628731.999177705,0.029524963995147185,1113.9385933809806,725.4247234585259,725424723.4585259,2023-04-14 00:00:00.000 UTC,13250000,0.17899812281754227
8626185.121126538,0.027810489713314613,1057.8632962821353,688.7037454018739,688703745.401874,2023-04-13 00:00:00.000 UTC,13250000,0.16550097548832035
8623786.803784573,0.016630962838329384,1012.9400899385025,659.2739155196995,659273915.5196995,2023-04-12 00:00:00.000 UTC,13250000,0.16147886049582513
8622352.823490709,0.021753383271499456,1041.265224468802,677.596690430284,677596690.4302839,2023-04-11 00:00:00.000 UTC,13250000,0.18372017851381736
8620477.577963341,0.025086068741708926,1038.459332611501,675.6238032003183,675623803.2003183,2023-04-10 00:00:00.000 UTC,13250000,0.18244039261797146
8618315.581392216,0.023832438637178998,1019.6960786531173,663.2500077691096,663250007.7691096,2023-04-09 00:00:00.000 UTC,13250000,0.18309431207758636
8616262.116010599,0.034223617999409164,1045.0025056946472,679.5483396945614,679548339.6945614,2023-04-08 00:00:00.000 UTC,13250000,0.18845706133301277
8613314.328217821,0.016047955230736193,1036.3342367217933,673.6809456587548,673680945.6587548,2023-04-07 00:00:00.000 UTC,13250000,0.17238714925874724
8611932.289179552,0.0237939036400757,1050.1098427860627,682.5264046999665,682526404.6999665,2023-04-06 00:00:00.000 UTC,13250000,0.19156718227092484
8609883.661757551,0.038840116713053284,1053.2803160492995,684.4242252380145,684424225.2380145,2023-04-05 00:00:00.000 UTC,13250000,0.18934911542389565
8606540.871238206,0.02047566640263494,975.5962243626445,633.6987757587002,633698775.7587003,2023-04-04 00:00:00.000 UTC,13250000,0.18223710176113112
8604778.985398471,0.025738961104618728,970.1765663089319,630.0494286717844,630049428.6717844,2023-04-03 00:00:00.000 UTC,13250000,0.2992475602773298
8602564.774597138,0.029186662686840153,994.0203361691804,645.3678738990336,645367873.8990337,2023-04-02 00:00:00.000 UTC,13250000,0.3099141752775738
8600054.70563932,0.018178444482318565,1003.7606697502421,651.5016355638676,651501635.5638676,2023-04-01 00:00:00.000 UTC,13250000,0.301499287686585
8598491.633611387,0.03519805393678525,997.8254362482252,647.5315973875469,647531597.3875469,2023-03-31 00:00:00.000 UTC,13250000,0.32746743593816274
8595466.196783325,0.021579551001313885,998.4525823550171,647.710597790458,647710597.790458,2023-03-30 00:00:00.000 UTC,13250000,0.3202478041722949
