date,bonded_percent,apr,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,price,volume_24h,market_cap,total_supply,circulating_supply,token,bonded_tokens
2024-01-01,,,-0.645318397518,-0.227325114918,-1.924936100758,118.55844051926,1.5162332714788476,21383248.18,746882501.0512851,587378721.0,492590761.0,Osmosis,
2024-01-02,,,0.357835117997,2.601423549555,0.05969430434,119.127404512106,1.5556769208692927,20380159.66,766312078.3211416,587378721.0,492590761.0,Osmosis,
2024-01-03,,,0.015948294395,1.704687410767,-0.988102024469,117.176073785083,1.5821963494915532,43732248.73,779375303.8474661,587378721.0,492590761.0,Osmosis,
2024-01-04,,,-0.36362437665,-4.255138851142,-13.835650497607,107.240281486391,1.5148716979229833,62321131.49,746211802.4972445,587378721.0,492590761.0,Osmosis,
2024-01-05,,,0.658134771815,14.681748138715,6.099196048919,126.40113221467,1.7372813452367115,88644728.42,855768739.9212555,587378721.0,492590761.0,Osmosis,
2024-01-06,,,0.468385214256,1.116367304233,10.89477223081,138.263732424242,1.7566757861574729,107317297.36,865322262.3335829,587378721.0,492590761.0,Osmosis,
2024-01-07,,,-0.068046812494,-0.235283436095,15.322535283681,131.233700112372,1.7525426190067561,58227166.07,863286302.381471,587378721.0,492590761.0,Osmosis,
2024-01-08,,,-0.285088103585,0.223525113408,15.843651826099,123.254245260519,1.7564599918834218,45433983.56,865215964.0679085,587378721.0,492590761.0,Osmosis,
2024-01-09,,,-0.010015314206,1.803554535587,14.942806038006,125.822282518756,1.7881387057328135,58512782.76,880820605.8304816,587378721.0,492590761.0,Osmosis,
2024-01-10,,,-0.343270245921,-1.670153430054,11.128688065165,110.309654279177,1.758274045804896,61988345.6,866109550.2695826,587378721.0,492590761.0,Osmosis,
2024-01-11,,,-0.396162252682,6.182088554338,23.242919311534,119.328892975822,1.86697210434449,56608341.49,919653209.6448238,587378721.0,492590761.0,Osmosis,
2024-01-12,,,0.356211734301,1.476746344818,9.052143560318,76.42469453824,1.8945425466541645,60976369.54,933234154.8032529,587378721.0,492590761.0,Osmosis,
2024-01-13,,,1.373797466106,-7.78676971867,-0.549726074077,60.819823981715,1.7470188813239709,57741464.38,860565360.2327435,587378721.0,492590761.0,Osmosis,
2024-01-14,,,-0.068115174388,2.690922971551,2.367257392896,45.257890442913,1.7940298137188486,34857958.73,883722511.1964558,587378721.0,492590761.0,Osmosis,
2024-01-15,,,-1.341695153325,-2.182747199306,-0.090483909999,28.313154880572,1.754870678205192,38931006.97,864433082.8336816,587378721.0,492590761.0,Osmosis,
2024-01-16,,,-0.034419283966,0.506454600347,-1.363451513552,19.810816865734,1.7637583014850988,38415774.28,868811043.9486122,587378721.0,492590761.0,Osmosis,
2024-01-17,,,-0.251480342773,1.276948680485,1.592842941905,23.976972813332,1.7862805898428493,37173815.49,879905315.110218,587378721.0,492590761.0,Osmosis,
2024-01-18,,,0.05426755795,-2.103677601633,-6.334808050815,15.52127685845,1.7487030051720085,29819097.41,861394944.0806665,587378721.0,492590761.0,Osmosis,
2024-01-19,,,-0.501371178989,-6.580697179816,-13.771999540874,19.748785689868,1.6336261558272926,32741019.49,804709151.2884706,587378721.0,492590761.0,Osmosis,
2024-01-20,,,0.005191984343,-0.494464603835,-6.953011778795,13.784381260696,1.6255484527277364,32235043.07,800730149.3715281,587378721.0,492590761.0,Osmosis,
2024-01-21,,,0.129376070626,-0.520411220873,-9.862762379242,10.339171679076,1.617088916179008,20294906.06,796563059.8252828,587378721.0,492590761.0,Osmosis,
2024-01-22,,,-0.527438295081,-2.991111440714,-10.607658781724,3.781645206324,1.5687199846006665,20105502.75,772736971.0103506,587378721.0,492590761.0,Osmosis,
