date,bonded_percentage,apr,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,price,volume_24h,market_cap,total_supply,circ_supply,token,bonded_tokens,has_liquid_staking,chain,inflation
2023-10-18,0.6692,0.207,0.273454315813,-2.839365871398,-3.536850380658,-7.204177318297,6.445388590354927,65508553.16,2384503665.0454826,369954989.0,369954989.0,Cosmos,247554259.0,True,Atom,0.142
2023-10-19,0.6670999999999999,0.20800000000000002,-0.355314405805,-2.266040082392,-6.049766612296,-14.631166123329,6.299333501431549,62410990.39,2331533095.5338125,370123775.0,370123775.0,Cosmos,246916637.0,True,Atom,0.142
2023-10-20,0.6676000000000001,0.20800000000000002,0.310214925824,-0.518061011982,-4.859150065061,-16.556715884988,6.26669911054593,64236723.86,2320501766.473836,370290918.0,370290918.0,Cosmos,247202814.0,True,Atom,0.142
2023-10-21,0.6668000000000001,0.20800000000000002,-0.117549798904,2.332163117794,-2.288237469025,-11.873732713503,6.412848755905214,72835187.4,2375706835.894586,370460450.0,370460450.0,Cosmos,247022115.0,True,Atom,0.142
2023-10-22,0.6663,0.20800000000000002,-0.02899429601,3.332112328649,0.619670207437,-7.69864545123,6.626532079918349,68955891.86,2455977596.170917,370627889.0,370627889.0,Cosmos,246946687.0,True,Atom,0.142
2023-10-23,0.6664,0.20800000000000002,0.016556711033,1.862899028096,2.222457340313,-5.384492660725,6.749977681631589,65199768.11,2502866951.9309015,370796330.0,370796330.0,Cosmos,247106026.0,True,Atom,0.142
2023-10-24,0.6663,0.20800000000000002,0.035398245411,3.943723415619,5.764967760912,-0.942365056558,7.016178132011159,128429211.99,2602754857.9073024,370964763.0,370964763.0,Cosmos,247152665.0,True,Atom,0.142
2023-10-25,0.6653,0.209,-0.332616371602,-0.365171412693,8.45827147909,0.178053120104,6.990557055209423,177276242.52,2594422762.500256,371132478.0,371132478.0,Cosmos,246905012.0,True,Atom,0.142
2023-10-26,0.6639,0.209,0.265121095924,1.80389802886,12.974802405959,1.112640339997,7.1166595761346585,117029023.75,2642426090.94178,371301460.0,371301460.0,Cosmos,246483637.0,True,Atom,0.142
2023-10-27,0.6622,0.21,0.149660135891,0.602741802794,14.247621148973,2.934648649973,7.159554658362592,129201374.1,2659543165.9346995,371467681.0,371467681.0,Cosmos,245974113.0,True,Atom,0.142
2023-10-28,0.6634,0.209,0.170416348261,-1.805513815273,9.628157118473,0.903679744533,7.030287909893834,80903817.45,2612705061.6877913,371635571.0,371635571.0,Cosmos,246543292.0,True,Atom,0.142
2023-10-29,0.6634,0.209,0.039573375018,2.189919958139,8.416370754758,1.070243451205,7.18424558794726,58466396.94,2671129845.6532536,371803805.0,371803805.0,Cosmos,246763873.0,True,Atom,0.142
2023-10-29,0.6635,0.209,0.039573375018,2.189919958139,8.416370754758,1.070243451205,7.18424558794726,58466396.94,2671129845.6532536,371803805.0,371803805.0,Cosmos,246763873.0,True,Atom,0.142
2023-10-29,0.6634,0.209,0.039573375018,2.189919958139,8.416370754758,1.070243451205,7.18424558794726,58466396.94,2671129845.6532536,371803805.0,371803805.0,Cosmos,246763873.0,True,Atom,0.142
2023-10-29,0.6635,0.209,0.039573375018,2.189919958139,8.416370754758,1.070243451205,7.18424558794726,58466396.94,2671129845.6532536,371803805.0,371803805.0,Cosmos,246763873.0,True,Atom,0.142
2023-10-29,0.6634,0.209,0.039573375018,2.189919958139,8.416370754758,1.070243451205,7.18424558794726,58466396.94,2671129845.6532536,371803805.0,371803805.0,Cosmos,246763873.0,True,Atom,0.142
2023-10-29,0.6635,0.209,0.039573375018,2.189919958139,8.416370754758,1.070243451205,7.18424558794726,58466396.94,2671129845.6532536,371803805.0,371803805.0,Cosmos,246763873.0,True,Atom,0.142
2023-10-29,0.6634,0.209,0.039573375018,2.189919958139,8.416370754758,1.070243451205,7.18424558794726,58466396.94,2671129845.6532536,371803805.0,371803805.0,Cosmos,246763873.0,True,Atom,0.142
2023-10-29,0.6635,0.209,0.039573375018,2.189919958139,8.416370754758,1.070243451205,7.18424558794726,58466396.94,2671129845.6532536,371803805.0,371803805.0,Cosmos,246763873.0,True,Atom,0.142
2023-10-29,0.6635,0.209,0.039573375018,2.189919958139,8.416370754758,1.070243451205,7.18424558794726,58466396.94,2671129845.6532536,371803805.0,371803805.0,Cosmos,246676263.0,True,Atom,0.142
2023-10-29,0.6635,0.209,0.039573375018,2.189919958139,8.416370754758,1.070243451205,7.18424558794726,58466396.94,2671129845.6532536,371803805.0,371803805.0,Cosmos,246676263.0,True,Atom,0.142
2023-10-29,0.6634,0.209,0.039573375018,2.189919958139,8.416370754758,1.070243451205,7.18424558794726,58466396.94,2671129845.6532536,371803805.0,371803805.0,Cosmos,246676263.0,True,Atom,0.142
2023-10-29,0.6635,0.209,0.039573375018,2.189919958139,8.416370754758,1.070243451205,7.18424558794726,58466396.94,2671129845.6532536,371803805.0,371803805.0,Cosmos,246676263.0,True,Atom,0.142
2023-10-29,0.6634,0.209,0.039573375018,2.189919958139,8.416370754758,1.070243451205,7.18424558794726,58466396.94,2671129845.6532536,371803805.0,371803805.0,Cosmos,246676263.0,True,Atom,0.142
