NEG_ONE,ONE,crv_cumm,crv_daily_release,crv_daily_release_avg,curve_price,cvxcrv_cumm,cvxcrv_depeg,cvxcrv_depeg_diff,cvxcrv_price,market_cap,other_cumm,sdcrv_cumm,sdcrv_depeg,sdcrv_depeg_diff,sdcrv_price,time,total_crv,ycrv_cumm,ycrv_depeg,ycrv_depeg_diff,ycrv_price
-1,1,725926781.5459187,500242.80202387105,526889.7755080827,1.0084584861111106,288654467.1455878,0.8970631445929013,0.005754932171340932,0.9046509407422295,1366102586.7534995,289066939.27261645,24306929.896578684,,,,2023-01-21 00:00:00.000 UTC,1354644346.3642828,26689228.50358124,0.9944098503776247,0.006470717619145749,1.0028210522857954
-1,1,725770912.9006401,490735.706730576,523190.33705093525,0.9342449895833329,288621683.56180745,0.8913082124215603,0.020959604274482846,0.8327002316293197,1265102343.9268546,288850251.73662394,24304748.1805376,,,,2023-01-20 00:00:00.000 UTC,1354144103.5622592,26596507.182649974,0.987939132758479,0.007006340813825562,0.9229771847929121
-1,1,725358692.4046844,718686.8609871767,555716.8108784959,0.9020040590277781,288556422.219716,0.8703486081470775,0.008414708110527469,0.785057977317841,1221000832.3223088,289013803.8562008,24304697.201330513,,,,2023-01-19 00:00:00.000 UTC,1353653367.8555284,26419752.173596665,0.9809327919446534,0.009471014909728681,0.8848053599675284
-1,1,724656732.5202508,512588.1017233448,523282.47911614995,0.9234116840277776,288555701.85386246,0.86193390003655,-0.004171636239984622,0.7959198341533807,1249315692.1567535,289039227.5954144,24299530.789759964,,,,2023-01-18 00:00:00.000 UTC,1352934680.9945414,26383488.23525372,0.9714617770349248,0.014439879455699578,0.8970591555004372
-1,1,724163289.0311186,500228.7370810079,519693.1985448501,0.9128028645833328,288540543.47478354,0.8661055362765346,-0.025497483410426347,0.7905836145447045,1234494760.5183506,289221246.9797425,24296733.543755,,,,2023-01-17 00:00:00.000 UTC,1352422092.892818,26200279.863418415,0.9570218975792252,0.0014843118107905617,0.8735723295792936
-1,1,723682293.6796144,475929.47647791705,515866.4041241609,0.8631265798611111,288530151.0201149,0.891603019686961,0.00891131245020349,0.7695662649762455,1166879694.8481991,289217424.8600001,24296083.303035215,,,,2023-01-16 00:00:00.000 UTC,1351921864.1557372,26195911.29297258,0.9555375857684346,-0.005589177970336756,0.8247498883330521
-1,1,723213436.0667365,499012.07012907765,517566.7098763648,0.8158240069444446,288521735.729004,0.8826917072367575,-0.015563266375350326,0.720121085494524,1102542037.5988135,289343585.6719353,24295352.164905213,,,,2023-01-15 00:00:00.000 UTC,1351445934.6792593,26071825.046678215,0.9611267637387714,0.00010327543436383646,0.784110287574911
-1,1,722897983.4198005,517694.44891167345,518975.3671258282,0.8133919270833334,288340587.5471951,0.8982549736121078,-0.01793901607953652,0.7306333439985412,1098849320.7683392,289350596.5797437,24286489.431376748,,,,2023-01-14 00:00:00.000 UTC,1350946922.60913,26071265.631014008,0.9610234883044075,0.010088314588558633,0.7816887471242694
-1,1,722380490.0856057,470647.2943666915,518302.561151306,0.7138531215277778,288339103.03726536,0.9161939896916443,0.0023921030597132686,0.654027939466369,964008119.9245194,289352097.38594276,24286272.020390525,,,,2023-01-13 00:00:00.000 UTC,1350429228.1602182,26071265.631014008,0.9509351737158489,-0.008256151065637374,0.6788280421276184
-1,1,722123704.3834356,750947.497351061,546695.4802443872,0.6694623402777774,288315810.9114735,0.9138018866319311,0.0029497838574286117,0.6117559495748608,903746430.8245202,289538369.3263248,24183597.18651175,,,,2023-01-12 00:00:00.000 UTC,1349958580.8658516,25797099.058105975,0.9591913247814863,-0.009674473125964145,0.6421424690623555
-1,1,721922130.4297632,459212.20688840863,513141.2187729606,0.6620851805555555,288309776.560579,0.9108521027745025,0.0027424643809567106,0.6030616789248638,893290379.5457174,289549792.8660044,23628834.454047848,,,,2023-01-11 00:00:00.000 UTC,1349207633.3685005,25797099.058105975,0.9688657979074504,-0.006680752604416251,0.6414716867416567
-1,1,721487804.482689,483873.8571529461,519985.24205711996,0.6482603680555555,288304382.3446735,0.9081096383935457,-0.000791782087926518,0.5886914884197975,874340147.916576,289541619.41736394,23628786.681452814,,,,2023-01-10 00:00:00.000 UTC,1348748421.161612,25785828.235432744,0.9755465505118667,0.0008805896586829842,0.6324081658901503
-1,1,721091579.1116538,469614.3817154943,2280538.6235493543,0.637642878472222,288291444.3822292,0.9089014204814723,-0.014708535492243602,0.5795545180032974,859711286.8852626,289526725.7606914,23586797.979417346,,,,2023-01-09 00:00:00.000 UTC,1348264547.304459,25768000.070467263,0.9746659608531837,-0.007784034402192774,0.621488808827318
-1,1,720664104.0858995,489531.922495548,2284475.30319439,0.5536209236111109,288262474.6110547,0.9236099559737159,0.002783698596994677,0.5113297968825861,746167475.6030645,289582897.51903605,23581295.87545099,,,,2023-01-08 00:00:00.000 UTC,1347794932.9227436,25704160.83130237,0.9824499952553765,-0.0022549125672232107,0.5439048737750131
-1,1,720705048.3141838,510281.3281247853,2286202.5688057193,0.5496947812500002,287828925.7439876,0.9208262573767212,0.0020796981628971034,0.5061733881179531,740606747.679775,289496573.977528,23570692.133246187,,,,2023-01-07 00:00:00.000 UTC,1347305401.000248,25704160.83130237,0.9847049078225997,0.005233242686053963,0.5412871489013454
-1,1,720219456.691208,512312.00111549586,2283223.1496789157,0.536657114583333,287817388.1352272,0.9187465592138241,0.0013609622200416727,0.4930518775010561,722767182.8581563,289499804.81952566,23555850.20042262,,,,2023-01-06 00:00:00.000 UTC,1346795119.6721232,25702619.82573966,0.9794716651365457,-0.004029227913060041,0.5256404376283111
-1,1,719725661.038721,697790.6471113407,2307011.721954757,0.5488932743055552,287816468.0677397,0.9173855969937824,0.007597678240832462,0.5035467841346738,738965578.4438155,289504252.6823908,23547998.323987763,,,,2023-01-05 00:00:00.000 UTC,1346282807.6710076,25688427.55816837,0.9835008930496058,2.50614303929364e-05,0.5398370254684358
